S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities,Scale_type
258,Diabetes Singapore,Registered with IPC,S71SS0043E,From 01/7/2020 to 30/6/2023,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
574,Promisedland Community Services,Registered with IPC,T02SS0212H,From 01/2/2022 to 31/1/2025,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships",5000000
26,BOYS' TOWN,Registered with IPC,201534576H,From 15/2/2023 to 14/12/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory Training & education Research",20000000
185,"Children's Charities Association of Singapore, The",Registered with IPC,S66SS0023F,From 01/7/2022 to 31/8/2024,Social and Welfare,Children/Youth,Supports other Charities,5000000
290,TTSH COMMUNITY FUND,Registered with IPC,201400920N,From 20/7/2021 to 19/7/2024,Health,,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
51,COMMUNITY CANCER FUND,Deregistered,T00CC1481D,Not Applicable,Health,,"Grantmaking Public awareness, promotion & advisory Training & education",20000000
153,NCC RESEARCH FUND,Registered with IPC,T05CC1897G,From 19/8/2020 to 18/8/2023,Health,,Grantmaking Research,20000000
186,SATHYA SAI SOCIAL SERVICE (SINGAPORE),Registered with IPC,S96SS0160E,From 01/5/2023 to 30/9/2025,Social and Welfare,Community,Direct Services,20000000
110,KWONG WAI SHIU HOSPITAL,Registered with IPC,201615448C,From 01/7/2020 to 30/6/2023,Health,"Nursing Home,TCM Clinic",Direct Services Training & education,20000000
458,MAKE-A-WISH FOUNDATION (SINGAPORE) LIMITED,Registered with IPC,200201965D,From 01/3/2023 to 31/12/2025,Social and Welfare,Children/Youth,Direct Services,5000000
152,CAT WELFARE SOCIETY,Registered with IPC,S99SS0144E,From 09/12/2022 to 08/12/2024,Others,Animal Welfare,"Public awareness, promotion & advisory",5000000
160,CENTRE FOR FATHERING LIMITED,Registered with IPC,200101825N,From 01/10/2021 to 30/6/2024,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education",5000000
712,"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",Registered with IPC,S61SS0060B,From 01/1/2021 to 31/12/2023,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",5000000
171,Persatuan Pemudi Islam Singapura (PPIS),Registered with IPC,S64SS0011K,From 01/10/2021 to 31/3/2024,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships",20000000
231,SINGHEALTH FOUNDATION (FORMERLY KNOWN AS SINGHEALTH ENDOWMENT FUND),Deregistered,T02CC1576B,Not Applicable,Health,,Grantmaking,20000000
301,YAYASAN MENDAKI,Registered with IPC,198902633C,From 28/6/2019 to 27/6/2024,Others,Self-Help Groups,,20000000
204,CHRISTIAN OUTREACH TO THE HANDICAPPED,Registered with IPC,S87SS0014H,From 01/7/2022 to 29/2/2024,Social and Welfare,Disability (Adult),Direct Services,5000000
7,AMKFSC COMMUNITY SERVICES LTD.,Registered with IPC,201229817Z,From 01/4/2021 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services,20000000
486,MUSCULAR DYSTROPHY ASSOCIATION (SINGAPORE),Registered with IPC,T00SS0094D,From 12/7/2022 to 11/7/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
39,CANOSSAVILLE CHILDREN AND COMMUNITY SERVICES,Registered with IPC,S87CC0462K,From 01/8/2021 to 31/7/2024,Social and Welfare,"Children/Youth,Community,Disability (Children)","Direct Services Financial assistance, bursaries & scholarships",10000000
885,YELLOW RIBBON FUND (YRF),Registered with IPC,T04CC1808H,From 01/11/2022 to 30/11/2024,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Training & education",5000000
660,SINGAPORE CHINESE DANCE THEATRE,Registered with IPC,201419196W,From 17/8/2022 to 16/2/2025,Arts and Heritage,"Historical & Cultural Conservation,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education","Training & education Public awareness, promotion & advisory",5000000
260,Down Syndrome Association (Singapore),Registered with IPC,S96SS0170K,From 01/10/2022 to 31/7/2025,Social and Welfare,"Community,Disability (Adult),Disability (Children),Family,Support Groups",Direct Services,5000000
713,SOCIETY FOR WINGS,Registered with IPC,T07SS0263K,From 01/5/2021 to 31/10/2024,Social and Welfare,Community,Training & education,5000000
165,NUHS FUND LIMITED,Registered with IPC,201203593Z,From 14/5/2020 to 13/5/2023,Health,,,10000000
303,Young Men's Christian Association of Singapore,Registered with IPC,S61SS0045E,From 01/7/2021 to 30/6/2024,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",20000000
755,T.H.E DANCE COMPANY LTD.,Registered with IPC,200818017E,From 20/2/2022 to 19/2/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services Training & education Public awareness, promotion & advisory",5000000
597,Riding for the Disabled Association of Singapore,Registered with IPC,S82SS0081H,From 01/1/2023 to 31/12/2025,Social and Welfare,"Disability (Adult),Disability (Children)",Direct Services,5000000
196,"Singapore Association for Mental Health, The",Registered with IPC,S68SS0038A,From 01/1/2022 to 31/12/2024,Health,Diseases/Illnessess Support Group,Direct Services,20000000
547,Parkinson Society Singapore,Registered with IPC,S96SS0203J,From 01/12/2021 to 30/11/2024,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory",5000000
141,MORNING STAR COMMUNITY SERVICES LTD.,Registered with IPC,201617675H,From 01/7/2022 to 30/6/2025,Social and Welfare,"Children/Youth,Community,Family",Direct Services Supports other Charities Training & education,10000000
253,DAUGHTERS OF TOMORROW LIMITED,Registered with IPC,201425430M,From 09/10/2022 to 08/1/2024,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Training & education",5000000
464,PROJECT ORBIS INTERNATIONAL INC. (SINGAPORE) LTD.,Registered,201332607E,Not Applicable,Health,Others,Training & education,1000000
196,SHINE Children and Youth Services,Registered with IPC,S76SS0021F,From 01/4/2023 to 31/7/2026,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships Training & education Research",10000000
295,Fencing Singapore,Registered with IPC,S65SS0025D,From 30/8/2021 to 29/8/2024,Sports,NSAs,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
15,ASSISI HOSPICE,Registered with IPC,201208993Z,From 27/4/2023 to 26/4/2026,Health,Hospice,Direct Services,20000000
19,AUTISM ASSOCIATION (SINGAPORE),Registered with IPC,S92SS0124D,From 01/7/2021 to 30/6/2024,Social and Welfare,"Disability (Adult),Disability (Children)",Training & education,20000000
128,Metropolitan Young Men's Christian Association Of Singapore,Registered with IPC,S63SS0006B,From 01/10/2020 to 30/9/2023,Social and Welfare,Community,Direct Services,20000000
728,Waterways Watch Society,Registered with IPC,S99SS0038D,From 01/12/2021 to 30/11/2023,Others,Environment,Training & education,1000000
249,NNI HEALTH ENDOWMENT FUND,Deregistered,T00CC1410F,Not Applicable,Health,,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",250000
269,THE NATIONAL KIDNEY FOUNDATION,Registered with IPC,200104750M,From 01/1/2022 to 31/12/2024,Health,,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",20000000
264,THE FOOD BANK SINGAPORE LTD.,Registered with IPC,201200654E,From 01/2/2021 to 31/7/2023,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",20000000
299,WORLD VISION INTERNATIONAL,Registered,S81FC3015E,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory",20000000
37,Apex Day Rehabilitation Centre For Elderly,Registered with IPC,S89SS0091D,From 01/9/2022 to 31/8/2025,Health,,Direct Services,5000000
50,BARTLEY COMMUNITY CARE SERVICES,Registered with IPC,T01SS0004H,From 01/7/2022 to 30/11/2024,Social and Welfare,Family,"Direct Services Financial assistance, bursaries & scholarships Training & education",1000000
79,Epworth Community Services,Registered with IPC,T08SS0123D,From 01/3/2022 to 28/2/2025,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships Training & education",10000000
193,Singapore Anglican Community Services,Registered with IPC,S75SS0005H,From 01/7/2022 to 31/12/2024,Social and Welfare,"Community,Disability (Adult),Eldercare,Family",Direct Services,20000000
200,Singapore Cancer Society,Registered with IPC,S65SS0033F,From 31/3/2022 to 30/3/2025,Health,"Diseases/Illnessess Support Group,Hospice,Others","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",20000000
98,Handicaps Welfare Association,Registered with IPC,S69SS0057J,From 01/10/2022 to 30/9/2025,Social and Welfare,Disability (Adult),Direct Services,10000000
249,St. John's Home for Elderly Persons,Registered with IPC,S61SS0176G,From 01/4/2022 to 31/3/2026,Social and Welfare,"Eldercare,Support Groups",Direct Services,20000000
868,WE CARE COMMUNITY SERVICES LIMITED,Registered with IPC,200506089N,From 01/7/2021 to 30/6/2024,Social and Welfare,"Community,Family,Support Groups","Public awareness, promotion & advisory Training & education",5000000
35,Caritas Singapore Agape Fund,Registered with IPC,T06CC2001K,From 01/2/2023 to 31/3/2025,Social and Welfare,Community,Grantmaking Supports other Charities Training & education,20000000
34,CARE CORNER SINGAPORE LTD,Registered with IPC,198105641M,From 01/8/2020 to 31/7/2024,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
805,THE OPERATION HOPE FOUNDATION LIMITED,Registered,200104386W,Not Applicable,Others,"General Charitable Purposes,Humanitarian Aid","Direct Services Financial assistance, bursaries & scholarships Training & education",5000000
638,Singapore Association of the Visually Handicapped,Registered with IPC,S61SS0119J,From 01/1/2023 to 31/12/2023,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
261,THE COMMUNITY FOUNDATION OF SINGAPORE,Registered with IPC,200817758M,From 22/9/2022 to 21/9/2025,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities",20000000
141,Care for the Elderly Foundation (Singapore),Registered with IPC,S95SS0134B,From 01/2/2022 to 31/1/2025,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
154,NCSS CHARITABLE FUND,Registered with IPC,T03CC1692B,From 01/5/2023 to 30/4/2028,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",20000000
131,MONTFORT CARE,Registered with IPC,200814118E,From 01/3/2021 to 29/2/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",20000000
243,Sree Narayana Mission (Singapore),Registered with IPC,S48SS0016D,From 01/3/2021 to 29/2/2024,Social and Welfare,"Community,Eldercare","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",20000000
143,CAREGIVING WELFARE ASSOCIATION,Registered with IPC,T04SS0073G,From 01/8/2021 to 31/7/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Training & education",5000000
40,Care Community Services Society,Registered with IPC,S96SS0195L,From 01/7/2021 to 30/6/2025,Social and Welfare,Community,Direct Services,10000000
104,KIDNEY DIALYSIS FOUNDATION LIMITED,Registered with IPC,199600830Z,From 30/10/2021 to 29/10/2024,Health,,"Direct Services Public awareness, promotion & advisory",20000000
184,Disabled People's Association,Registered with IPC,S86SS0002F,From 01/8/2022 to 31/7/2025,Social and Welfare,Disability (Adult),"Public awareness, promotion & advisory Research",1000000
224,Club Rainbow (Singapore),Registered with IPC,S92SS0137H,From 29/9/2020 to 28/9/2023,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
231,"CONSERVATION INTERNATIONAL ASIA-PACIFIC, LTD.",Registered,200910510N,Not Applicable,Others,Environment,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",5000000
183,"SALVATION ARMY, THE",Exempt Charity with IPC,T07CC3012G,From 01/7/2022 to 31/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships",20000000
99,HCSA COMMUNITY SERVICES,Registered with IPC,S97SS0023J,From 01/10/2021 to 31/12/2023,Social and Welfare,"Community,Eldercare","Direct Services Financial assistance, bursaries & scholarships Training & education",10000000
129,Metta Welfare Association,Registered with IPC,S94SS0081K,From 01/3/2021 to 29/2/2024,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare","Direct Services Financial assistance, bursaries & scholarships Training & education",20000000
525,NNI HEALTH RESEARCH ENDOWMENT FUND,Registered with IPC,T06CC1963D,From 15/5/2021 to 14/5/2024,Health,,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",5000000
102,"Helping Hand, The",Registered with IPC,S88SS0058F,From 01/10/2020 to 30/9/2023,Social and Welfare,Support Groups,Direct Services,10000000
86,GARDEN CITY FUND,Registered with IPC,T02CC1634C,From 01/7/2022 to 30/6/2025,Others,Environment,,10000000
668,The Mission to Seafarers Singapore,Registered,S83SS0014K,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory",1000000
29,BRIGHT VISION HOSPITAL,Registered with IPC,200105451R,From 23/8/2021 to 22/8/2024,Health,Hospice,Direct Services,20000000
413,NEW OPERA SINGAPORE LTD.,Registered with IPC,201114924K,From 04/1/2022 to 03/1/2024,Arts and Heritage,"Music & Orchestras,Theatre & Dramatic Arts","Direct Services Public awareness, promotion & advisory",1000000
300,FOCUS ON THE FAMILY SINGAPORE LIMITED,Registered with IPC,200108115N,From 01/10/2021 to 31/3/2025,Social and Welfare,Family,,5000000
720,United Women Singapore,Registered with IPC,S97SS0098B,From 13/9/2022 to 12/3/2025,Social and Welfare,"Children/Youth,Community,Support Groups","Research Financial assistance, bursaries & scholarships Training & education Public awareness, promotion & advisory",1000000
667,Singapore Dragon Boat Association,Registered with IPC,S87SS0101F,From 01/1/2021 to 31/12/2023,Sports,NSAs,,5000000
876,Willing Hearts,Registered with IPC,T05SS0071J,From 17/6/2022 to 16/6/2023,Social and Welfare,"Children/Youth,Community,Disability (Adult),Eldercare,Family",Direct Services,5000000
50,Chen Su Lan Methodist Children's Home,Registered with IPC,S68SS0016K,From 01/7/2022 to 28/2/2025,Social and Welfare,"Children/Youth,Disability (Children),Family","Direct Services Financial assistance, bursaries & scholarships",10000000
419,NOAH'S ARK COMPANION ANIMAL RESCUE & EDUCATION SOCIETY,Registered with IPC,T05SS0171L,From 08/8/2022 to 07/8/2025,Others,Animal Welfare,"Public awareness, promotion & advisory",1000000
557,Singapore Eye Foundation,Registered,S83SS0015F,Not Applicable,Health,Diseases/Illnessess Support Group,Direct Services Research Training & education,500000
473,MERCY RELIEF LIMITED,,200306035Z,Not Applicable,Others,Humanitarian Aid,,5000000
340,HAGAR (SINGAPORE) LIMITED,Registered,200401226H,Not Applicable,Others,Children/Youth,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",5000000
39,ARC CHILDREN'S CENTRE CO LIMITED,Registered with IPC,201021661K,From 01/1/2021 to 31/12/2023,Social and Welfare,Children/Youth,Direct Services,5000000
210,FAMILY LIFE FIRST,Deregistered,S97SS0016C,Not Applicable,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",500000
21,AWWA LTD.,Registered with IPC,201500785Z,From 01/10/2022 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",20000000
2,365 CANCER PREVENTION SOCIETY,Registered with IPC,T03SS0046H,From 01/11/2021 to 31/10/2024,Health,"Other Community-based Services,Others; Nutrition Counselling","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",10000000
44,Children's Aid Society,Registered with IPC,S62SS0031K,From 01/4/2022 to 31/3/2025,Social and Welfare,Family,Direct Services,20000000
483,MUHAMMADIYAH WELFARE HOME,Registered with IPC,S89CC0701L,From 01/10/2022 to 30/9/2023,Social and Welfare,Children/Youth,Direct Services,5000000
721,"Special Olympics, Singapore",Registered with IPC,S91SS0003B,From 01/8/2021 to 31/7/2024,Sports,"Disability Sports,NSAs","Public awareness, promotion & advisory Training & education",5000000
214,Singapore Disability Sports Council,Registered with IPC,S73SS0035B,From 27/12/2020 to 26/12/2023,Sports,"Disability Sports,NSAs",Training & education,10000000
24,Beyond Social Services,Registered with IPC,S87SS0025J,From 01/7/2022 to 30/6/2025,Social and Welfare,Community,"Direct Services Research Financial assistance, bursaries & scholarships Training & education",20000000
168,CIRCLE OF FRIENDS LIMITED,Registered,201433751W,Not Applicable,Social and Welfare,Children/Youth,Training & education,200000
141,NANYANG TECHNOLOGICAL UNIVERSITY,Registered with IPC,200604393R,From 01/4/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Research Financial assistance, bursaries & scholarships Training & education",20000000
533,O'Joy Care Services,Deregistered,T04SS0047J,,Social and Welfare,"Community,Eldercare","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
72,FEI YUE FAMILY SERVICE CENTRE,Registered with IPC,S94SS0031G,From 17/10/2021 to 16/7/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships Research",20000000
434,ONE (SINGAPORE),Registered,T05SS0263L,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Supports other Charities Training & education",500000
51,BEAUTIFUL PEOPLE SG LTD.,Registered with IPC,201525056H,From 01/12/2022 to 31/7/2025,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships",1000000
111,LAKESIDE FAMILY SERVICES,Registered with IPC,S97SS0022B,From 01/5/2022 to 31/10/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships",20000000
220,SINGAPORE RED CROSS SOCIETY,Registered with IPC,S86CC0370E,From 01/1/2023 to 31/10/2025,Others,General Charitable Purposes,Direct Services Training & education,20000000
742,WORLD TOILET ORGANIZATION LIMITED,Registered,200205358C,Not Applicable,Others,Environment,"Public awareness, promotion & advisory Training & education",1000000
513,"New Charis Mission, The",Registered with IPC,T06SS0166B,From 10/5/2021 to 09/5/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Training & education",5000000
559,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association),Registered with IPC,S48SS0014A,From 26/6/2022 to 25/6/2024,Social and Welfare,Children/Youth,Direct Services,5000000
273,The Straits Times School Pocket Money Fund,Registered with IPC,T11CC0007D,From 01/2/2023 to 31/1/2026,Social and Welfare,Family,"Financial assistance, bursaries & scholarships",20000000
25,"BONE MARROW DONOR PROGRAMME, THE",Registered with IPC,S93SS0141J,From 01/7/2021 to 30/6/2024,Health,Diseases/Illnessess Support Group,,20000000
71,Fei Yue Community Services,Registered with IPC,S96SS0134G,From 17/10/2021 to 16/7/2024,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education Research",20000000
32,BREAST CANCER FOUNDATION,Registered with IPC,S97SS0137L,From 16/2/2022 to 15/2/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory",10000000
236,Society for The Aged Sick,Registered with IPC,S68SS0022J,From 01/9/2021 to 31/8/2024,Health,Nursing Home,Direct Services,20000000
520,NEW LIFE STORIES LIMITED,Registered with IPC,201411304Z,From 27/4/2023 to 26/12/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Training & education Research",5000000
221,SINGAPORE REPERTORY THEATRE LTD,Registered with IPC,199301614N,From 01/10/2021 to 30/9/2023,Arts and Heritage,Theatre & Dramatic Arts,Direct Services,10000000
201,Singapore Children's Society,Registered with IPC,S62SS0057G,From 01/7/2021 to 30/6/2025,Social and Welfare,Family,"Direct Services Research Financial assistance, bursaries & scholarships Public awareness, promotion & advisory",20000000
244,Jump Rope Federation (Singapore),Registered,T13SS0090E,Not Applicable,Sports,"Competitive Sports,Non-NSAs","Public awareness, promotion & advisory Supports other Charities Training & education",50000
570,Singapore National Stroke Association,Registered with IPC,S96SS0196G,From 20/11/2021 to 19/11/2024,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education",1000000
65,Dover Park Hospice,Registered with IPC,S92SS0138D,From 01/10/2020 to 30/9/2023,Health,Hospice,Direct Services,20000000
27,BIZLINK CENTRE SINGAPORE LTD,Registered with IPC,199500566R,From 01/10/2020 to 30/9/2023,Social and Welfare,Disability (Adult),,10000000
6,Alzheimer's Disease Association,Deregistered,S91SS0018J,From 01/1/2019 to 31/12/2021,Health,,"Direct Services Public awareness, promotion & advisory Training & education Research",20000000
189,SG ENABLE LTD.,Registered with IPC,200822425N,From 01/3/2021 to 28/2/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Public awareness, promotion & advisory",20000000
5,All Saints Home,Registered with IPC,S87SS0068F,From 17/7/2021 to 16/7/2024,Health,Nursing Home,Direct Services,20000000
36,ARTSWOK COLLABORATIVE LIMITED,Registered with IPC,201432448C,From 01/12/2021 to 30/11/2023,Arts and Heritage,"Literary Arts,Others,Theatre & Dramatic Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory Training & education Research",1000000
248,ST LUKE'S HOSPITAL,Registered with IPC,199205095C,From 23/9/2022 to 22/9/2025,Health,,Direct Services Training & education,20000000
142,CAREGIVERS ALLIANCE LIMITED,Registered with IPC,201131617N,From 01/11/2020 to 31/10/2023,Social and Welfare,Support Groups,Training & education,5000000
12,Action for Singapore Dogs Society,Registered,T02SS0132E,Not Applicable,Others,Animal Welfare,,5000000
636,Singapore Anti-Narcotics Association,Registered with IPC,S72SS0018H,From 01/11/2022 to 31/5/2025,Social and Welfare,"Children/Youth,Community,Family,Support Groups",Direct Services,5000000
35,Animal Concerns Research and Education Society,Registered with IPC,T01SS0121K,From 01/12/2022 to 30/11/2023,Others,Animal Welfare,"Training & education Public awareness, promotion & advisory",5000000
130,Migrant Workers' Assistance Fund,Registered with IPC,T12CC0003C,From 21/3/2022 to 20/3/2025,Social and Welfare,Community,,20000000
222,CLARITY SINGAPORE LIMITED,Registered with IPC,201021634E,From 01/9/2020 to 31/8/2023,Health,,"Direct Services Public awareness, promotion & advisory",5000000
223,Singapore Swimming Association,Registered with IPC,S61SS0088B,From 01/7/2021 to 30/6/2024,Sports,NSAs,,20000000
199,"SINGAPORE ASSOCIATION FOR THE DEAF, THE",Registered with IPC,S62SS0061C,From 01/7/2021 to 30/6/2024,Social and Welfare,Disability (Adult),"Direct Services Training & education Public awareness, promotion & advisory",10000000
242,"SPECIAL OLYMPICS ASIA PACIFIC, LTD.",Registered,200906631E,Not Applicable,Sports,Non-NSAs,"Research Supports other Charities Training & education Public awareness, promotion & advisory",10000000
97,BRAHM CENTRE LTD.,Registered with IPC,200200167M,From 01/5/2023 to 30/4/2026,Health,Others; Mental Health,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
89,Blossom World Society,Registered with IPC,T08SS0161K,From 29/3/2023 to 28/9/2025,Others,"Children/Youth,General Charitable Purposes","Public awareness, promotion & advisory Supports other Charities Training & education",5000000
311,Just Parenting Association,Deregistered,T04SS0013K,Not Applicable,Social and Welfare,"Children/Youth,Family,Support Groups",Direct Services,500000
544,PANGDEMONIUM THEATRE COMPANY LTD.,Registered with IPC,201229915M,From 15/4/2023 to 14/4/2025,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Training & education",5000000
48,BABES PREGNANCY CRISIS SUPPORT LTD.,Registered with IPC,201314611H,From 01/7/2022 to 30/6/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory",1000000
624,Shan You,Registered with IPC,S95SS0103B,From 02/12/2021 to 01/12/2023,Health,Others; Mental Health,"Direct Services Training & education Public awareness, promotion & advisory",5000000
119,LIONS BEFRIENDERS SERVICE ASSOCIATION (SINGAPORE),Registered with IPC,S95SS0076A,From 04/7/2021 to 03/7/2024,Health,Other Community-based Services,Direct Services,20000000
380,INTERCULTURAL THEATRE INSTITUTE LTD.,Registered with IPC,200818680E,From 25/2/2023 to 24/2/2024,Arts and Heritage,"Theatre & Dramatic Arts,Training & Education",Direct Services Training & education,5000000
342,HALOGEN FOUNDATION (SINGAPORE),Registered with IPC,200308081M,From 01/10/2021 to 30/9/2024,Others,Children/Youth,Training & education,5000000
181,REACH COMMUNITY SERVICES SOCIETY,Registered with IPC,S98SS0144L,From 01/11/2021 to 31/10/2024,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships",10000000
