S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
14,ASCENDING HOPE COMMUNITY SERVICES LTD.,Registered with IPC,201623215G,From 09/4/2023 to 08/4/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities"
15,Asia Evangelistic Fellowship,Registered,S61SS0190H,Not Applicable,Religious,Christianity,Direct Services
16,Asia Pacific Hospice Palliative Care Network,Registered,T01SS0003A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
17,ASIAN MEDICAL FOUNDATION LTD.,Registered with IPC,200303941K,From 04/6/2022 to 03/6/2025,Health,Others,Supports other Charities
18,Assemblies of God Community Services Society,Registered,T00SS0005K,Not Applicable,Social and Welfare,Community,
19,AYER RAJAH-GEK POH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0008L,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
20,BARTLEY COMMUNITY CARE SERVICES,Registered with IPC,T01SS0004H,From 01/7/2022 to 30/11/2024,Social and Welfare,Family,"Direct Services Financial assistance, bursaries & scholarships Training & education"
21,BEDOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S90CC0764J,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
22,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S88CC0571D,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships Training & education"
23,Berean Bible- Presbyterian Church,Registered,S97SS0060H,Not Applicable,Religious,Christianity,Direct Services
24,Bethany Emmanuel Church,Registered,S89SS0030L,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
25,BETHANY PRESBYTERIAN CHURCH,Registered,T12SS0103L,Not Applicable,Religious,Christianity,Supports other Charities
26,BETHANY PRESBYTERIAN CHURCH ENGLISH CONGREGATION,Registered,T13SS0059D,Not Applicable,Religious,Christianity,Supports other Charities
27,BETHESDA (SERANGOON) CHURCH LT D,Registered,197902061E,Not Applicable,Religious,Christianity,Training & education
28,BGR INTERNATIONAL,Registered,200722544Z,Not Applicable,Others,Humanitarian Aid,Direct Services Grantmaking Supports other Charities Training & education
29,Bishan East-Sin Ming CCC Community Development and Welfare Fund,Registered with IPC,S92CC0922L,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
30,BLESS COMMUNITY SERVICES,Registered with IPC,T08SS0032L,From 22/2/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services Training & education
31,BO TIEN TEMPLE,Registered,S70SS0033F,Not Applicable,Religious,Taoism,
32,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0542B,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
33,BORDER MISSION LIMITED,Registered,201437049R,Not Applicable,Others,General Charitable Purposes,
34,"Buddhist Fo Yuan Lin Monastery, The",Registered,T06SS0001A,Not Applicable,Religious,Buddhism,Training & education
35,BUDS THEATRE,Registered,T11SS0182F,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
36,BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0825C,From 01/1/2021 to 31/12/2023,Community,North West,"Direct Services Financial assistance, bursaries & scholarships"
37,CampusImpact,Registered with IPC,T06SS0077A,From 01/7/2022 to 30/6/2025,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education"
38,CAREGIVING WELFARE ASSOCIATION,Registered with IPC,T04SS0073G,From 01/8/2021 to 31/7/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Training & education"
39,Carmel Presbyterian Church,Registered,S84SS0074A,Not Applicable,Religious,Christianity,Training & education
40,Catholic Prayer Society,Registered,S95SS0036C,Not Applicable,Religious,Christianity,
41,CELEBRATE CHRISTMAS IN SINGAPORE LIMITED,Registered,200412861G,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities"
42,CENACLE MISSION (SINGAPORE) LTD.,Registered,201512247H,Not Applicable,Religious,Christianity,
43,Centre for a Responsible Future,Registered,S99SS0065J,Not Applicable,Others,"Animal Welfare,Environment","Public awareness, promotion & advisory Training & education"
44,Centre for Seniors,Registered with IPC,T06SS0199E,From 01/4/2021 to 30/9/2023,Health,Active Ageing,"Public awareness, promotion & advisory Training & education"
45,Centre of Activity and Recreation for the Elders (CARE),Registered with IPC,S83SS0001F,From 01/5/2023 to 30/4/2026,Health,Others; Active Ageing,Direct Services Training & education
46,Centre of Hope Church,Registered,S87SS0050L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
47,Changi Baptist Church,Registered,S77SS0021L,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
48,Changi Christian Fellowship,Registered,T03SS0107H,Not Applicable,Religious,Christianity,Direct Services
49,Chao Ying Kong Temple,Registered,S94SS0007A,Not Applicable,Religious,Taoism,
50,CHARACTER & LEADERSHIP ACADEMY LIMITED,Registered,201412408N,Not Applicable,Others,Children/Youth,"Direct Services Research Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory"
51,Charis Centre,Registered,T00SS0185H,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups",
52,Charis Evangelical Free Church,Registered,S96SS0056G,Not Applicable,Religious,Christianity,Direct Services Training & education
53,Charn Mao Hern Kew Huang Keng,Registered,S87SS0017G,Not Applicable,Religious,Taoism,Supports other Charities
54,"Chartered Institute of Logistics and Transport, Singapore, The",Registered,S72SS0011C,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
55,Chee Tian Keng Temple,Registered,S93SS0010G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
56,Chee Tong Temple,Registered,S72SS0005D,Not Applicable,Religious,Taoism,Direct Services
57,Chek Sian Tng,Registered,S92SS0044A,Not Applicable,Religious,Buddhism,Direct Services
58,CHENG SAN - SELETAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0356D,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
59,Cheo Bu Tong Temple,Registered,S96SS0028F,Not Applicable,Religious,Taoism,Direct Services
60,Cher Lian Tong Buddhist Temple,Registered,S93SS0068L,Not Applicable,Religious,Buddhism,
61,CHERN NAM KONG SIEW TEMPLE,Registered,S88SS0047E,Not Applicable,Religious,Taoism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
62,Chi Hock Keng Temple,Registered,S90SS0004D,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
63,"CHILDCARE AND CHILDREN FUND,THE",Registered,S93CC0953E,Not Applicable,Social and Welfare,Support Groups,Direct Services
64,Chin Fook Meow,Registered,S85SS0042K,Not Applicable,Religious,Taoism,Direct Services
65,Chin Long Kong Temple,Registered,S94SS0122L,Not Applicable,Religious,Taoism,Direct Services
66,CHINESE ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,Registered,S90CC0752A,Not Applicable,Religious,Christianity,Direct Services Training & education
67,CHOA CHU KANG BIBLE CENTRE KINDERGARTEN,Deregistered,S97CC1289D,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
68,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.,Registered,201526674R,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships"
69,CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,Registered,201604228M,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
70,CHRISTIAN AGAPE FELLOWSHIP LTD,Registered,198305429M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
71,CHRISTIAN CARE SERVICES (SINGAPORE),Registered,S99SS0072D,Not Applicable,Social and Welfare,Community,
72,Christian Community Church,Registered,T03SS0043J,Not Applicable,Religious,Christianity,
73,Christian Disciples Church,Registered,S87SS0095L,Not Applicable,Religious,Christianity,
74,CHRISTIAN GRACE PRESBYTERIAN CHURCH LTD,Registered,197903636E,Not Applicable,Religious,Christianity,Direct Services Training & education
75,CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2019K,From 01/10/2021 to 30/9/2024,Community,South West,"Financial assistance, bursaries & scholarships"
76,Church Arise,Registered,T01SS0022D,Not Applicable,Religious,Christianity,
77,Church of Christ - Lavender,Registered,T03SS0001H,Not Applicable,Religious,Christianity,Training & education
78,CHURCH OF GOD (EVANGELICAL) LTD,Registered,197902131C,Not Applicable,Religious,Christianity,
79,CHURCH OF MARKETPLACE LTD.,Registered,201012290W,Not Applicable,Religious,Christianity,Direct Services
80,Chwee Bee Temple,Registered,S88SS0028B,Not Applicable,Religious,Taoism,
81,CITY CHINESE ORCHESTRA (SINGAPORE) LTD,Registered,199707455Z,Not Applicable,Arts and Heritage,Music & Orchestras,
82,Coalition Against Bullying for Children and Youth (CABCY),Registered,T05SS0272J,Not Applicable,Social and Welfare,"Children/Youth,Community","Public awareness, promotion & advisory Training & education Research"
83,"COLLEGE OF DENTAL SURGEONS, SINGAPORE",Registered,200815442W,Not Applicable,Health,,Training & education
84,"COLLEGE OF PAEDIATRICS AND CHILD HEALTH, SINGAPORE",Registered,200410329W,Not Applicable,Health,,Training & education
85,"COLLEGE OF PHYSICIANS, SINGAPORE",Registered,200410334R,Not Applicable,Health,,Training & education
86,"COLLEGE OF SURGEONS, SINGAPORE",Registered,200410341R,Not Applicable,Health,,Training & education
87,COMO FOUNDATION,Registered,201107654R,Not Applicable,Others,General Charitable Purposes,Grantmaking Supports other Charities
88,CONJUNCT CONSULTING (SINGAPORE) LIMITED,Registered,201319107K,Not Applicable,Others,General Charitable Purposes,Supports other Charities
89,Crisis Centre (Singapore),Registered,T18SS0008H,Not Applicable,Social and Welfare,Community,Direct Services
90,CYCLING WITHOUT AGE SINGAPORE LTD.,Registered with IPC,201714757N,From 01/11/2022 to 31/10/2025,Health,Other Community-based Services,Direct Services Supports other Charities Training & education
91,DAS INTERNATIONAL SERVICES LTD.,Registered,201111119G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
92,"Dharma Cakra Society, The",Registered,S69SS0051L,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory Supports other Charities"
93,Dharma Drum (Singapore),Registered,T04SS0012C,Not Applicable,Religious,Buddhism,Training & education
94,DING YI MUSIC COMPANY LTD.,Registered with IPC,201101809W,From 01/4/2021 to 30/9/2023,Arts and Heritage,Music & Orchestras,
95,DISCIPLESHIP TRAINING CENTRE LTD,Registered,197100578E,Not Applicable,Religious,Christianity,Training & education
96,EMMANUEL BIBLE-PRESBYTERIAN CHURCH,Registered,S86SS0052J,Not Applicable,Religious,Christianity,
97,Emmanuel Christian Church,Registered,S97SS0105D,Not Applicable,Religious,Christianity,Direct Services Training & education
98,Emmanuel Church of Singapore,Registered,S70SS0022E,Not Applicable,Religious,Christianity,
99,EMPOWER AGEING LIMITED,Registered with IPC,201619560Z,From 20/4/2023 to 19/4/2026,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
100,En Community,Registered,T02SS0168G,Not Applicable,Religious,Christianity,Training & education
101,En Community Services Society,Registered with IPC,T03SS0051L,From 20/3/2022 to 19/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
102,Epilepsy Care Group (Singapore),Registered with IPC,S95SS0164F,From 09/8/2022 to 08/8/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Training & education Research"
103,EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0679A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
104,EVANGEL CHRISTIAN CHURCH LTD,Registered,198201011E,Not Applicable,Religious,Christianity,
105,FAITH SANCTUARY,Registered,S93SS0116G,Not Applicable,Religious,Christianity,
106,FAMILY LIFE FIRST,Deregistered,S97SS0016C,Not Applicable,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
107,Family Life Society,Deregistered,S85SS0018D,,Social and Welfare,Family,Direct Services
108,Family of Grace Evangelical Free Church,Registered,T07SS0225D,Not Applicable,Religious,Christianity,Direct Services
109,FAMILY RESOURCE AND TRAINING CENTRE,Registered,S94CC1040A,Not Applicable,Social and Welfare,Community,Training & education
110,FELLOWSHIP OF CHRISTIAN ATHLETES SINGAPORE LIMITED,Registered,201300850N,Not Applicable,Religious,Christianity,Direct Services Training & education
111,Fernvale CCC Community Development and Welfare Fund,Registered with IPC,S99CC1387B,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
112,Festival of Praise Fellowship,Registered,S98SS0112D,Not Applicable,Religious,Christianity,
113,FLAMENCO SIN FRONTERAS LTD.,Registered,201132553D,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Training & education"
114,FOOTBALLPLUS LTD.,Registered with IPC,201329363K,From 14/8/2020 to 31/8/2023,Sports,"Competitive Sports,Non-NSAs,Others,Youth Sports","Direct Services Public awareness, promotion & advisory Training & education"
115,FOUNDATION FOR THE ARTS AND SOCIAL ENTERPRISE LIMITED,Registered with IPC,201303721C,From 21/8/2022 to 20/8/2024,Arts and Heritage,"Literary Arts,Music & Orchestras,Training & Education,Visual Arts","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
116,Free Presbyterian Church of Scotland (Singapore),Registered,S94SS0050K,Not Applicable,Religious,Christianity,
117,FRUITFUL VINE CHURCH,Registered,T02SS0162J,Not Applicable,Religious,Christianity,Training & education
118,FUAN TEMPLE,Registered,S85SS0076J,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
119,Full Gospel Korean Church (Singapore),Registered,S97SS0003K,Not Applicable,Religious,Christianity,
120,GEM NEW START CENTRE LIMITED,Registered with IPC,201314600E,From 06/11/2021 to 05/11/2023,Social and Welfare,Community,Direct Services Training & education
121,General Board of True Jesus Mission,Registered,S62SS0040H,Not Applicable,Religious,Christianity,
122,German Speaking Protestant Congregation In Singapore,Registered,S93SS0067D,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
123,GESS FUND LTD.,Registered,201227734E,Not Applicable,Education,Others,Training & education
124,Geylang United Temple,Registered,S81SS0035F,Not Applicable,Religious,Taoism,Direct Services
125,GK1WORLD (SINGAPORE) LTD.,Deregistered,201201657N,Not Applicable,Others,General Charitable Purposes,
126,GLAXOSMITHKLINE-EDB HRD FUND,Registered,S91CC0817A,Not Applicable,Others,General Charitable Purposes,
127,Glory Centre Community Services Association,Registered,T04SS0029B,Not Applicable,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
128,"Glory Korean Methodist Church (Singapore), The",Registered,T06SS0151F,Not Applicable,Religious,Christianity,Training & education
129,GLORY SANCTUARY,Registered,S95SS0117B,Not Applicable,Religious,Christianity,
130,GOH KENG SWEE FOUNDATION LTD.,Deregistered,200818254M,Not Applicable,Others,General Charitable Purposes,
131,Good News Baptist Church,Registered,S86SS0019E,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
132,GOSHEN INTERNATIONAL MINISTRIES LIMITED,Registered,198204059M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
133,Gospel Baptist Church,Registered,S89SS0019J,Not Applicable,Religious,Christianity,Direct Services
134,GOSPEL MISSION TO THE BLIND LIMITED,Registered,198400544Z,Not Applicable,Religious,Christianity,
135,GRACE BETHESDA CHURCH LTD,Registered,198000750D,Not Applicable,Religious,Christianity,
136,Grace Independent Baptist Church,Registered,S86SS0011D,Not Applicable,Religious,Christianity,
137,"Graduates' Christian Fellowship, Singapore",Registered,S61SS0148F,Not Applicable,Religious,Christianity,"Research Financial assistance, bursaries & scholarships Training & education"
138,GSK-EDB Trust Fund,Registered,T11CC0003J,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Training & education Research"
139,GUIDE DOGS SINGAPORE LTD.,Registered with IPC,200302260G,From 01/9/2022 to 28/2/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education"
140,Haemophilia Society of Singapore,Registered with IPC,S85SS0047A,From 01/1/2022 to 31/12/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
141,HAGAR (SINGAPORE) LIMITED,Registered,200401226H,Not Applicable,Others,Children/Youth,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
142,Hallelujah Oratorio Society,Registered,S86SS0078F,Not Applicable,Religious,Christianity,Training & education
143,"Harvest Force Society, The",Registered,S96SS0149C,Not Applicable,Religious,Christianity,Supports other Charities Training & education
144,HEAN THUAN TOH TONG,Registered,S80SS0043C,Not Applicable,Religious,Taoism,Direct Services
145,HEPHZIBAH CHRISTIAN FELLOWSHIP,Registered,S86SS0091L,Not Applicable,Religious,Christianity,Training & education
146,Hiang Foo Siang Temple,Registered,S83SS0075C,Not Applicable,Religious,Taoism,Supports other Charities
147,HIRA SOCIETY,Registered,T13SS0039E,Not Applicable,Social and Welfare,Support Groups,"Financial assistance, bursaries & scholarships Training & education"
148,His Arrow Church,Registered,T07SS0031K,Not Applicable,Religious,Christianity,Direct Services
149,His Mission,Registered,T05SS0032G,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
150,History Maker International Church,Registered,T07SS0165L,Not Applicable,Religious,Christianity,
151,Hock Huat Keng Temple,Registered,S94SS0157F,Not Applicable,Religious,Taoism,
152,HOLY COVENANT METHODIST CHURCH,Registered,S98CC1301C,Not Applicable,Religious,Christianity,Supports other Charities
153,HOME NURSING FOUNDATION,Registered with IPC,S76SS0044D,From 01/10/2021 to 30/9/2024,Health,,Direct Services
154,HONG KAH NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0782K,From 01/4/2021 to 31/3/2024,Community,South West,"Direct Services Financial assistance, bursaries & scholarships"
155,Hong San Chin Huat Temple Association,Registered,S82SS0014E,Not Applicable,Religious,Taoism,Direct Services
156,Hong San See Temple,Registered,S94SS0002K,Not Applicable,Religious,Taoism,
157,Hong San Si Temple Society,Registered,S84SS0007J,Not Applicable,Religious,"Buddhism,Taoism",Direct Services
158,HONOUR (SINGAPORE) LTD.,Registered with IPC,201405223G,From 21/5/2022 to 20/5/2025,Others,General Charitable Purposes,"Public awareness, promotion & advisory"
159,"Hoon Sian Keng Temple, The",Registered,S50SS0001D,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Supports other Charities"
160,Hosanna Assembly of God Church,Registered,T00SS0128K,Not Applicable,Religious,Christianity,
161,Hougang Assembly of God Church,Registered,S87SS0098K,Not Applicable,Religious,Christianity,Supports other Charities
162,HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T04CC1802K,From 01/1/2021 to 31/12/2023,Community,North East,"Financial assistance, bursaries & scholarships"
163,HOUGANG CONSTITUENCY EDUCATION TRUST,Registered,S93CC0976C,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
164,"House of Prayer, The",Registered,S88SS0110J,Not Applicable,Religious,Christianity,
165,HUAXIA CULTURAL HUB LTD.,Registered,201831810M,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
166,Huria Kristen Batak Protestant (Batak Christian Protestant) Singapore,Registered,S61SS0070G,Not Applicable,Religious,Christianity,
167,HYFY LIMITED,Registered,201423780G,Not Applicable,Others,Children/Youth,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
168,I THEATRE LTD.,Deregistered,200802928D,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,Supports other Charities
169,IC@RE HUB LTD.,Registered with IPC,201307803W,From 01/10/2021 to 30/6/2024,Social and Welfare,Community,Direct Services
170,IIX GLOBAL CHARITABLE LIMITED,Registered,201006538Z,Not Applicable,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Training & education Research"
171,IMAGE MISSION LTD.,Registered with IPC,201506898W,From 01/1/2022 to 30/9/2024,Social and Welfare,Community,Direct Services
172,In Him Church,Registered,T02SS0043D,Not Applicable,Religious,Christianity,
173,International Christian Choral Conductor Society,Registered,T02SS0216C,Not Applicable,Religious,Christianity,
174,INTERNATIONAL LUTHERAN SEAFARERS' MISSION,Registered,T00CC1413E,Not Applicable,Religious,Christianity,Direct Services
175,INTERNATIONAL RICE RESEARCH INSTITUTE FUND LTD.,Registered,200822937C,Not Applicable,Others,Think Tanks,Research
176,International Sri Krishna Mandir,Registered,S97SS0028L,Not Applicable,Religious,Hinduism,
177,Inter-Religious Organisation (Singapore),Registered with IPC,S64SS0007C,From 20/6/2022 to 19/12/2023,Others,General Charitable Purposes,"Public awareness, promotion & advisory"
178,ISCA CARES LIMITED,Registered with IPC,201532966C,From 24/9/2021 to 23/9/2024,Social and Welfare,"Children/Youth,Community","Financial assistance, bursaries & scholarships"
179,ISETAN FOUNDATION,Registered,198101792R,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Supports other Charities"
180,J217 LIMITED,Registered,201533182D,Not Applicable,Social and Welfare,"Children/Youth,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships"
181,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0436A,From 01/4/2023 to 31/3/2026,Community,Central,Supports other Charities
182,JESUS SAVES MISSION LIMITED,Registered,197100576D,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships"
183,JI ZHENG GONG,Registered,T03SS0115K,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
184,Joo Chiat Gospel Hall,Registered,T00SS0215H,Not Applicable,Religious,Christianity,
185,JURONG TAMIL METHODIST CHURCH,Registered,S88CC0581J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
186,Kai Hock Tong Temple,Registered,S87SS0078L,Not Applicable,Religious,Taoism,
187,KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0869A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
188,Kang Ming Free Clinic,Registered,T01SS0013F,Not Applicable,Health,TCM Clinic,Direct Services Supports other Charities Training & education
189,Keat Sun Beo,Registered,S94SS0028G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
190,KEMBANGAN-CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S98CC1346C,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
191,KENNETH COPELAND MINISTRIES SINGAPORE LTD.,Deregistered,200404121H,Not Applicable,Religious,Christianity,
192,Kew Ong Yah Temple,Registered,S94SS0022J,Not Applicable,Religious,Taoism,
193,Khoon Chee Vihara,Registered,S99SS0092C,Not Applicable,Religious,Buddhism,
194,Khush Khabri Fellowship,Registered,S92SS0004C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships"
195,KIEW LEE TONG TEMPLE,Registered,S87SS0067K,Not Applicable,Religious,Taoism,Direct Services
196,Kingdom of Jesus Christ Society,Registered,T01SS0001J,Not Applicable,Religious,Christianity,Supports other Charities
197,KOLAM AYER CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2009E,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
198,Kong Beng Tong Temple Association,Registered,S84SS0011E,Not Applicable,Religious,Taoism,"Supports other Charities Public awareness, promotion & advisory"
199,KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0678E,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
200,Krishna Our Guide,Registered,S70SS0005E,Not Applicable,Religious,Hinduism,
201,KWAN YAM THENG BUDDHIST TEMPLE,Registered,S92CC0904D,Not Applicable,Religious,Buddhism,
202,LEAP FOUNDATION LTD.,Registered,200906548Z,Not Applicable,Others,General Charitable Purposes,
203,LEE KUAN YEW SCHOLARSHIP FUND,Registered with IPC,199104843M,From 26/9/2022 to 25/9/2025,Education,Foundations & Trusts,Training & education
204,LEI ZANG SI (SINGAPORE),Registered,S93SS0079A,Not Applicable,Religious,Buddhism,Direct Services Supports other Charities Training & education
205,Leng Foong Prajna Temple,Registered,T00SS0004C,Not Applicable,Religious,Buddhism,
206,Leng Hok San Hian Leng Temple Tian Se Tao Chiao,Registered,S85SS0027B,Not Applicable,Religious,Taoism,
207,"Life Church and Missions, The",Registered,T01SS0039C,Not Applicable,Religious,Christianity,Direct Services
208,Life Spring Community Network,Deregistered,S99SS0017J,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
209,Lighthouse Baptist Church,Registered,S89SS0082F,Not Applicable,Religious,Christianity,Direct Services Training & education
