S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
36,CARITAS SINGAPORE COMMUNITY COUNCIL LIMITED,Registered,200613504D,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Supports other Charities Training & education"
37,CATHOLIC FOUNDATION LIMITED,Registered,201231391K,Not Applicable,Religious,Christianity,Grantmaking
38,"Catholic Welfare Services, Singapore",Registered with IPC,S61SS0167J,From 01/1/2021 to 31/12/2023,Social and Welfare,"Community,Disability (Adult),Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships"
39,Cerebral Palsy Alliance Singapore,Registered with IPC,S60SS0003K,From 01/6/2022 to 30/11/2024,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
40,CHANGI HEALTH FUND (LTD.),Deregistered,201133557D,Not Applicable,Health,,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
41,CHAR YONG (DABU) FOUNDATION LIMITED,Registered,199506669C,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
42,CHEN SU LAN TRUST,Registered,194900051D,Not Applicable,Social and Welfare,Community,
43,CHEW HOW TECK FOUNDATION,Registered,T06CC1995L,Not Applicable,Others,Think Tanks,
44,Children's Aid Society,Registered with IPC,S62SS0031K,From 01/4/2022 to 31/3/2025,Social and Welfare,Family,Direct Services
45,CHILDREN'S CANCER FOUNDATION,Registered with IPC,201934434R,From 05/5/2022 to 04/5/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
46,Children's Cancer Foundation,Deregistered,S92SS0103J,From 05/5/2019 to 04/5/2022,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
47,CHINESE DEVELOPMENT ASSISTANCE COUNCIL,Registered with IPC,199202625K,From 22/5/2022 to 21/5/2027,Others,Self-Help Groups,
48,Chong Hua Tong Tou Teck Hwee,Registered,S80SS0015B,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
49,Church of Our Saviour,Exempt Charity,T08CC4065E,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Training & education"
50,City Harvest Church,Registered,S92SS0080D,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
51,COMMUNITY CANCER FUND,Deregistered,T00CC1481D,Not Applicable,Health,,"Grantmaking Public awareness, promotion & advisory Training & education"
52,Community Capability Trust,Registered,T21CC0002E,Not Applicable,Social and Welfare,Community,
53,COMO FOUNDATION,Registered,201107654R,Not Applicable,Others,General Charitable Purposes,Grantmaking Supports other Charities
54,Cornerstone Community Church,Registered,S95SS0118J,Not Applicable,Religious,Christianity,
55,COUNCIL FOR THIRD AGE,Registered,200708621W,Not Applicable,Health,Others; Active Ageing,
56,COUNCIL FOR WORLD MISSION LTD.,Registered,201206146Z,Not Applicable,Religious,Christianity,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
57,Covenant Evangelical Free Church,Registered,S92SS0116B,Not Applicable,Religious,Christianity,Direct Services
58,CREDIT COUNSELLING SINGAPORE,Registered with IPC,201607267C,From 29/6/2022 to 28/6/2023,Social and Welfare,Community,Training & education
59,CREST SECONDARY SCHOOL,Registered with IPC,201136224W,From 02/1/2023 to 01/1/2028,Education,Independent Schools,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
60,CROCODILE FOUNDATION LTD.,Registered,201535138W,Not Applicable,Others,General Charitable Purposes,Grantmaking
61,CRU ASIA LIMITED,Registered,197200238N,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Training & education"
62,Cultural Matching Fund,Registered,T14CC0004J,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory Supports other Charities"
63,DEFENCE COLLECTIVE SINGAPORE LTD.,Registered,199307558M,Not Applicable,Education,Others,"Supports other Charities Training & education Public awareness, promotion & advisory"
64,DEMENTIA SINGAPORE LTD.,Registered with IPC,202111519K,From 01/1/2022 to 31/12/2024,Health,Others,"Direct Services Public awareness, promotion & advisory Training & education Research"
65,Dover Park Hospice,Registered with IPC,S92SS0138D,From 01/10/2020 to 30/9/2023,Health,Hospice,Direct Services
66,DYSLEXIA ASSOCIATION OF SINGAPORE,Deregistered,S91SS0096B,From 01/4/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,Training & education
67,DYSLEXIA ASSOCIATION OF SINGAPORE,Registered with IPC,202114767K,From 25/8/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Direct Services Research Training & education"
68,EDUCATION FUND,Exempt Charity with IPC,T06CC3002H,From 02/12/2021 to 01/12/2026,Education,Others,Grantmaking
69,ESSEC,Registered,200511927D,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education Research
70,FAITH COMMUNITY BAPTIST CHURCH,Registered,S87SS0046D,Not Applicable,Religious,Christianity,
71,Fei Yue Community Services,Registered with IPC,S96SS0134G,From 17/10/2021 to 16/7/2024,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education Research"
72,FEI YUE FAMILY SERVICE CENTRE,Registered with IPC,S94SS0031G,From 17/10/2021 to 16/7/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships Research"
73,FOOD FROM THE HEART,Registered with IPC,200721064R,From 01/5/2021 to 31/1/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities"
74,Football Association of Singapore,Registered with IPC,S82SS0043B,From 08/6/2022 to 07/6/2025,Sports,NSAs,
75,GARDENS BY THE BAY,Registered with IPC,201132829N,From 01/4/2023 to 31/3/2026,Others,Environment,Direct Services
76,GERMAN EUROPEAN SCHOOL SINGAPORE (DEUTSCHE EUROPAEISCHE SCHULE SINGAPUR),Registered,S72SS0010G,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
77,GLAXOSMITHKLINE-EDB HRD FUND,Registered,S91CC0817A,Not Applicable,Others,General Charitable Purposes,
78,GOH FOUNDATION LIMITED,Registered,199403740Z,Not Applicable,Social and Welfare,Community,"Grantmaking Financial assistance, bursaries & scholarships"
79,Grace Assembly of God,Registered,S61SS0171E,Not Applicable,Religious,Christianity,
80,Grace Lodge,Registered with IPC,S88SS0120C,From 01/9/2021 to 31/8/2024,Health,Nursing Home,Direct Services
81,GSK-EDB Trust Fund,Registered,T11CC0003J,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Training & education Research"
82,HCA Hospice Care,Registered,S89SS0106G,From 01/10/2019 to 30/9/2022,Health,Hospice,Direct Services
83,HEALTH PROMOTION BOARD,Deregistered,T08GB0014L,Not Applicable,Health,,"Public awareness, promotion & advisory"
84,Heart of God Church,Registered,S99SS0059K,Not Applicable,Religious,Christianity,Direct Services
85,Henderson-Dawson CCC Community Development and Welfare Fund,Registered with IPC,T02CC1588K,From 01/4/2023 to 31/3/2026,Community,Central,"Financial assistance, bursaries & scholarships"
86,HOME NURSING FOUNDATION,Registered with IPC,S76SS0044D,From 01/10/2021 to 30/9/2024,Health,,Direct Services
87,Hope Church (Singapore),Registered,S93SS0023L,Not Applicable,Religious,Christianity,
88,HWA CHONG INTERNATIONAL SCHOOL,Registered,200405080R,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
89,INSEAD,Registered,199901016K,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education Research
90,Institute of Technical Education,Exempt Charity,T08GB0022B,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
91,INTERNATIONAL BACCALAUREATE ORGANIZATION (SINGAPORE BRANCH),Registered,S91FC4345J,Not Applicable,Education,Others,Training & education
92,INTERNATIONAL COMMUNITY SCHOOL (SINGAPORE) LTD,Registered,199303918N,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
93,INTERNATIONAL FRENCH SCHOOL (SINGAPORE) LTD.,Registered,198004581H,Not Applicable,Education,Foreign Educational Institutions/Funds,
94,ISAAC MANASSEH MEYER TRUST FUND,Registered,S85CC0152L,Not Applicable,Others,General Charitable Purposes,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
95,ISEAS - Yusof Ishak Institute,Exempt Charity,T08GB0021F,Not Applicable,Education,Local Educational Institutions/Funds,Research
96,ISEAS RESEARCH FUNDS,Exempt Charity with IPC,T08CC3005F,From 01/4/2021 to 31/3/2026,Education,Local Educational Institutions/Funds,
97,ISHK TOLARAM FOUNDATION LTD.,Registered,201627578E,Not Applicable,Others,"Children/Youth,General Charitable Purposes",Direct Services Grantmaking Supports other Charities Training & education
98,ITE EDUCATION FUND (ITEEF),Exempt Charity with IPC,T08CC3006B,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
99,JAPANESE SCHOOL,Deregistered,S86CC0384E,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
100,Ju Eng Home for Senior Citizens,Registered with IPC,S89SS0113B,From 15/5/2022 to 14/5/2025,Health,Nursing Home,
101,JURONGHEALTH FUND,Registered with IPC,201118604G,From 01/9/2021 to 31/8/2024,Health,,Grantmaking
102,KAMPONG KAPOR METHODIST CHURCH,Registered,S87CC0537K,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
103,KHOO TECK PUAT FOUNDATION,Registered,198200899N,Not Applicable,Social and Welfare,Community,
104,KIDNEY DIALYSIS FOUNDATION LIMITED,Registered with IPC,199600830Z,From 30/10/2021 to 29/10/2024,Health,,"Direct Services Public awareness, promotion & advisory"
105,KIDSTART SINGAPORE LTD.,Registered,202027544G,Not Applicable,Others,Children/Youth,
106,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE LIMITED,Registered,202115260W,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships Direct Services Supports other Charities Training & education"
107,KONG MENG SAN PHOR KARK SEE MONASTERY,Registered,199607186C,Not Applicable,Religious,Buddhism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
108,KRETA AYER PEOPLE'S THEATRE FOUNDATION,Registered with IPC,197500851C,From 21/6/2022 to 20/6/2024,Arts and Heritage,,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory"
109,KWAN IM THONG HOOD CHO TEMPLE,Registered,S84CC0046E,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships Supports other Charities"
110,KWONG WAI SHIU HOSPITAL,Registered with IPC,201615448C,From 01/7/2020 to 30/6/2023,Health,"Nursing Home,TCM Clinic",Direct Services Training & education
111,LAKESIDE FAMILY SERVICES,Registered with IPC,S97SS0022B,From 01/5/2022 to 31/10/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships"
112,LASALLE COLLEGE OF THE ARTS LIMITED,Registered with IPC,199202950W,From 04/2/2021 to 03/2/2024,Arts and Heritage,Training & Education,
113,LEE FOUNDATION,Registered,195200045N,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
114,LEE KUAN YEW FUND FOR BILINGUALISM,Registered with IPC,201204335M,From 04/3/2021 to 03/3/2025,Arts and Heritage,Historical & Cultural Conservation,Grantmaking
115,LEW FOUNDATION,Registered,201508668D,Not Applicable,Others,General Charitable Purposes,Grantmaking
116,LIEN FOUNDATION,Registered,198000302D,Not Applicable,Social and Welfare,"Community,Eldercare","Research Supports other Charities Grantmaking Public awareness, promotion & advisory"
117,Lighthouse Evangelism,Registered,S81SS0044D,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
118,Ling Kwang Home For Senior Citizens,Registered with IPC,T08SS0070F,From 01/2/2023 to 31/1/2026,Health,Nursing Home,Direct Services
119,LIONS BEFRIENDERS SERVICE ASSOCIATION (SINGAPORE),Registered with IPC,S95SS0076A,From 04/7/2021 to 03/7/2024,Health,Other Community-based Services,Direct Services
120,LIONS HOME FOR THE ELDERS,Registered with IPC,S80SS0029B,From 27/4/2023 to 26/4/2026,Health,Nursing Home,"Direct Services Financial assistance, bursaries & scholarships"
121,MAHABODHI MONASTERY,Registered,S95SS0152J,Not Applicable,Religious,Buddhism,
122,Man Fatt Lam Buddhist Temple,Registered,S87SS0009E,Not Applicable,Religious,Buddhism,Direct Services
123,Man Fut Tong Nursing Home,Registered with IPC,S80SS0179G,From 11/10/2020 to 10/10/2023,Health,Nursing Home,Direct Services
124,Management Development Institute of Singapore (MDIS),Registered,S61SS0151F,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
125,METHODIST CHURCH IN SINGAPORE - GENERAL CONFERENCE,Registered,S88CC0564J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
126,METHODIST SCHOOLS' FOUNDATION,Registered with IPC,199703727C,From 16/1/2021 to 15/1/2024,Education,Foundations & Trusts,"Grantmaking Financial assistance, bursaries & scholarships"
127,Methodist Welfare Services,Registered with IPC,S81SS0088H,From 01/10/2020 to 30/9/2023,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
128,Metropolitan Young Men's Christian Association Of Singapore,Registered with IPC,S63SS0006B,From 01/10/2020 to 30/9/2023,Social and Welfare,Community,Direct Services
129,Metta Welfare Association,Registered with IPC,S94SS0081K,From 01/3/2021 to 29/2/2024,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare","Direct Services Financial assistance, bursaries & scholarships Training & education"
130,Migrant Workers' Assistance Fund,Registered with IPC,T12CC0003C,From 21/3/2022 to 20/3/2025,Social and Welfare,Community,
131,MONTFORT CARE,Registered with IPC,200814118E,From 01/3/2021 to 29/2/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
132,MOUNT ALVERNIA HOSPITAL,Exempt Charity,T08CC4085D,Not Applicable,Health,,Supports other Charities
133,Movement for the Intellectually Disabled of Singapore (MINDS),Registered with IPC,S62SS0075C,From 01/4/2022 to 30/6/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
134,"Muslim Missionary Society, Singapore - Jamiyah Welfare Fund",Registered with IPC,T15CC0003G,From 01/6/2021 to 31/5/2023,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
135,"Muslim Missionary Society, Singapore, The",Registered,S61SS0055K,Not Applicable,Religious,Islam,"Direct Services Public awareness, promotion & advisory Training & education"
136,MY WORLD PRESCHOOL LTD.,Registered,201401559H,Not Applicable,Social and Welfare,Community,Direct Services
137,NANYANG ACADEMY OF FINE ARTS,Registered with IPC,201006523M,From 01/4/2022 to 31/3/2025,Arts and Heritage,Training & Education,Training & education
138,NANYANG FINE ARTS FOUNDATION LIMITED,Registered,198904643G,Not Applicable,Arts and Heritage,Training & Education,Training & education
139,Nanyang Polytechnic,Exempt Charity,T08GB0032G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
140,NANYANG POLYTECHNIC EDUCATION FUND,Exempt Charity with IPC,T08CC3008E,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships"
141,NANYANG TECHNOLOGICAL UNIVERSITY,Registered with IPC,200604393R,From 01/4/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Research Financial assistance, bursaries & scholarships Training & education"
142,National Arts Council,Exempt Charity,T08GB0033C,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Visual Arts","Public awareness, promotion & advisory"
143,National Council of Social Service,Exempt Charity,T08GB0034K,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
144,NATIONAL GALLERY SINGAPORE,Registered with IPC,200900977G,From 01/12/2021 to 30/11/2024,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts","Public awareness, promotion & advisory Training & education Research"
145,NATIONAL HEALTHCARE GROUP ENDOWMENT FUND,Deregistered,T01CC1492K,Not Applicable,Health,,"Financial assistance, bursaries & scholarships Training & education Research"
146,NATIONAL HEALTHCARE GROUP FUND,Registered with IPC,201623926M,From 14/2/2021 to 13/2/2024,Health,,"Direct Services Research Training & education Public awareness, promotion & advisory"
147,NATIONAL HERITAGE BOARD,Registered,T08GB0036B,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory"
148,NATIONAL INSTITUTE OF EARLY CHILDHOOD DEVELOPMENT,Registered,201807452K,Not Applicable,Education,Local Educational Institutions/Funds,Training & education Research
149,NATIONAL LIBRARY BOARD,Registered,T08GB0037J,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,
150,NATIONAL UNIVERSITY OF SINGAPORE,Registered with IPC,200604346E,From 01/4/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Training & education Research"
151,NATIONAL VOLUNTEER AND PHILANTHROPY CENTRE,Registered with IPC,200817256W,From 05/11/2021 to 04/11/2024,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Supports other Charities Training & education Research"
152,NATIONAL YOUTH COUNCIL,Deregistered,S99CC1389E,Not Applicable,Others,Children/Youth,
153,NCC RESEARCH FUND,Registered with IPC,T05CC1897G,From 19/8/2020 to 18/8/2023,Health,,Grantmaking Research
154,NCSS CHARITABLE FUND,Registered with IPC,T03CC1692B,From 01/5/2023 to 30/4/2028,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
155,NEW CREATION CHURCH,Registered,S84SS0112C,Not Applicable,Religious,Christianity,
156,Ngee Ann Polytechnic,Exempt Charity,T08GB0039A,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
157,NGEE ANN POLYTECHNIC FUND,Exempt Charity with IPC,T08CC3009A,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Research Financial assistance, bursaries & scholarships Training & education"
158,NORTHLIGHT SCHOOL,Registered with IPC,200615271H,From 21/5/2022 to 20/5/2027,Education,Local Educational Institutions/Funds,Training & education
159,NTUC ELDERCARE DAY CARE PROGRAMME,Deregistered,T06CC2000C,Not Applicable,Social and Welfare,Eldercare,
160,NTUC FAIRPRICE FOUNDATION LTD.,Registered,200611163W,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships"
161,NTUC-U CARE FUND,Registered with IPC,T09CC0008D,From 01/5/2022 to 31/10/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Financial assistance, bursaries & scholarships Supports other Charities"
162,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,Registered with IPC,200500354G,From 16/6/2020 to 15/6/2023,Education,Local Educational Institutions/Funds,Training & education
163,"NYU TISCH SCHOOL OF THE ARTS, ASIA, LTD.",Deregistered,200703746K,Not Applicable,Arts and Heritage,Training & Education,Training & education
164,PAP COMMUNITY FOUNDATION,Registered,198601011Z,Not Applicable,Others,"Children/Youth,General Charitable Purposes","Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
165,PAP COMMUNITY FOUNDATION - CHARITY DIVISION,Registered with IPC,T02CC1585L,From 24/7/2020 to 23/7/2024,Social and Welfare,"Community,Disability (Children),Eldercare","Financial assistance, bursaries & scholarships Supports other Charities"
166,PAYA LEBAR METHODIST CHURCH,Registered,S87CC0520L,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
167,PEI HWA FOUNDATION LIMITED,Registered,199006258C,Not Applicable,Social and Welfare,Community,
168,People's Association,Exempt Charity,T08GB0041E,Not Applicable,Others,General Charitable Purposes,
169,PEOPLE'S ASSOCIATION - (COMMUNITY DEVELOPMENT COUNCIL PROJECT FUND MANAGEMENT COMMITTEE),Exempt Charity with IPC,T07CC3010D,From 01/4/2022 to 31/3/2027,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
170,PEOPLE'S ASSOCIATION COMMUNITY CENTRES/CLUBS BUILDING FUND,Exempt Charity with IPC,T07CC3021E,From 01/4/2022 to 31/3/2027,Community,"Central,North East,North West,South East,South West",
171,Persatuan Pemudi Islam Singapura (PPIS),Registered with IPC,S64SS0011K,From 01/10/2021 to 31/3/2024,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
172,Persatuan Ulama dan Guru-Guru Agama Islam(Singapura)(Islamic Scholars and Religious Teachers Assoc.),Registered,S57SS0012G,Not Applicable,Religious,Islam,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
173,PERTAPIS EDUCATION AND WELFARE CENTRE,Registered,S71SS0014H,From 01/7/2022 to 31/3/2023,Social and Welfare,"Children/Youth,Community,Eldercare",Direct Services
174,Presbyterian Community Services,Registered with IPC,S75SS0022H,From 01/7/2022 to 31/12/2024,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare","Direct Services Financial assistance, bursaries & scholarships Training & education Research"
175,PRESERVATION OF MONUMENTS FUND,Registered with IPC,T03CC1669C,From 01/1/2022 to 31/12/2023,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education Research"
176,"Radha Soami Satsang Beas, Singapore",Registered,S80SS0021A,Not Applicable,Religious,Others,
177,"RAINBOW CENTRE, SINGAPORE",Registered with IPC,S92SS0061A,From 01/1/2021 to 31/12/2023,Social and Welfare,Disability (Children),"Direct Services Public awareness, promotion & advisory Training & education"
